sap_code,sap_desc,pack_size,barcode,case_code,price_case,price_case_tax,price,srp,,,
65004789,LADY'S CHOICE RGLR MYNS 6X1 KG,6,4808680000000,14808700000000,1525.45,1708.50,284.75,299.00,,,
65004736,LADY'S CHOICE RGLR MYNS 72X15ML,72,4808680000000,14808700000000,411.43,460.80,6.40,7.00,,,
65004471,LADY'S CHOICE RGLR MYNS 72X80ML,72,4808680000000,14808700000000,1674.64,1875.60,26.05,28.50,,,
65004319,LADY'S CHOICE RGLR MYNS 24X220ML,24,4808680000000,14808700000000,1698.21,1902.00,79.25,85.75,,,
65004555,LADY'S CHOICE RGLR MYNS DOY 24X220ML,24,4800890000000,24800900000000,1503.21,1683.60,70.15,75.75,,,
65004320,LADY'S CHOICE RGLR MYNS 12X470ML,12,4808680000000,14808700000000,1685.89,1888.20,157.35,170.00,,,
65004559,LADY'S CHOICE RGLR MYNS DOY 12X470ML,12,4800890000000,24800900000000,1508.04,1689.00,140.75,152.00,,,
65004321,LADY'S CHOICE RGLR MYNS 6X700ML,6,4808680000000,14808700000000,1214.46,1360.20,226.70,245.00,,,
65004322,LADY'S CHOICE RGLR MYNS REAL MYO 4X3.5L,4,4808680000000,14808700000000,2479.82,2777.40,694.35,750.00,,,
65004467,LADY'S CHOICE LOW FAT MYNS 72X80ML,72,4800890000000,24800900000000,1674.64,1875.60,26.05,28.50,,,
65004468,LADY'S CHOICE LOW FAT MYNS 12X470ML,12,4800890000000,24800900000000,1636.07,1832.40,152.70,165.00,,,
65004737,LADY'S CHOICE SNDWCH SPRD 72X15ML,72,4808680000000,14808700000000,411.43,460.80,6.40,7.00,,,
65004475,LADY'S CHOICE SNDWCH SPRD 72X80ML,72,4808680000000,14808700000000,1671.43,1872.00,26.00,28.50,,,
65004308,LADY'S CHOICE SNDWCH SPRD 24X220ML,24,4808680000000,14808700000000,1393.93,1561.20,65.05,70.25,,,
65004558,LADY'S CHOICE SNDWCH SPRD DOY 24X220ML,24,4800890000000,24800900000000,1194.64,1338.00,55.75,60.25,,,
65004310,LADY'S CHOICE SNDWCH SPRD 12X470ML,12,4808680000000,14808700000000,1412.68,1582.20,131.85,142.50,,,
65004562,LADY'S CHOICE SNDWCH SPRD DOY 12X470ML,12,4800890000000,24800900000000,1236.96,1385.40,115.45,124.75,,,
65004313,LADY'S CHOICE SNDWCH SPRD 6X700ML,6,4808680000000,14808700000000,1002.05,1122.30,187.05,202.00,,,
65004314,LADY'S CHOICE SNDWCH SPRD 4X3.5 L,4,4808680000000,14808700000000,2149.29,2407.20,601.80,650.00,,,
65004792,LADY'S CHOICE SNDWCH SPRD BCN 12X6X15ML,72,4808680000000,14808700000000,411.43,460.80,6.40,7.00,,,
65004472,LADY'S CHOICE SNDWCH SPRD BCN 72X80ML,72,4808680000000,14808700000000,1755.00,1965.60,27.30,30.00,,,
65004337,LADY'S CHOICE SNDWCH SPRD BCN 24X220ML,24,4808680000000,14808700000000,1883.57,2109.60,87.90,95.00,,,
65004338,LADY'S CHOICE SNDWCH SPRD BCN 12X470ML,12,4808680000000,24808700000000,1942.50,2175.60,181.30,196.00,,,
65004725,LADY'S CHOICE SNDWCH SPRDCHCKN6X12X15ML,72,4808680000000,14808700000000,411.43,460.80,6.40,7.00,,,
65004473,LADY'S CHOICE SNDWCH SPRD CHCKN 72X80ML,72,4808680000000,14808700000000,1755.00,1965.60,27.30,30.00,,,
65004329,LADY'S CHOICE SNDWCH SPRD CHCKN24X220ML,24,4808680000000,14808700000000,1883.57,2109.60,87.90,95.00,,,
65004556,LADY'S CHOICESNDWCHSPRDCHCKNDOY24X220ML,24,4800890000000,24800900000000,1687.50,1890.00,78.75,85.00,,,
65004330,LADY'S CHOICE SNDWCH SPRD CHCKN12X470ML,12,4808680000000,14808700000000,1942.50,2175.60,181.30,196.00,,,
65004726,LADY'S CHOICE SNDWCH SPRD HAM 6X12X15ML,72,4808680000000,14808700000000,411.43,460.80,6.40,7.00,,,
65004474,LADY'S CHOICE SNDWCH SPRD HAM 72X80ML,72,4808680000000,14808700000000,1755.00,1965.60,27.30,30.00,,,
65004331,LADY'S CHOICE SNDWCH SPRD HAM 24X220ML,24,4808680000000,14808700000000,1883.57,2109.60,87.90,95.00,,,
65004557,LADY'S CHOICE SNDWCH SPRDHAMDOY24X220ML,24,4800890000000,24800900000000,1687.50,1890.00,78.75,85.00,,,
65004332,LADY'S CHOICE SNDWCH SPRD HAM 12X470ML,12,4808680000000,14808700000000,1942.50,2175.60,181.30,196.00,,,
65004793,LADY'S CHOICE SNDWCH SPRD TUNA12X6X15ML,72,4808680000000,14808700000000,411.43,460.80,6.40,7.00,,,
65004476,LADY'S CHOICE SNDWCH SPRD TUNA 72X80ML,72,4808680000000,14808700000000,1755.00,1965.60,27.30,30.00,,,
65004333,LADY'S CHOICE SNDWCH SPRD TUNA 24X220ML,24,4808680000000,14808700000000,1883.57,2109.60,87.90,95.00,,,
65004335,LADY'S CHOICE SNDWCH SPRD TUNA 12X470ML,12,4808680000000,14808700000000,1942.50,2175.60,181.30,196.00,,,
65004773,LADY'S CHOICE RGLR SLDCAESRDRSNG24X236ML,24,4808680000000,14808700000000,1917.86,2148.00,89.50,99.50,,,
65004772,LADY'S CHOICE THSND ISLND DRSNG 24X236ML,24,4808680000000,14808700000000,1917.86,2148.00,89.50,99.50,,,
63914558,LADYS CHOICE PENT BUTR CREAMY 12X170g,12,4808680000000,14808700000000,662.68,742.20,61.85,64.95,,,
63914559,LADYS CHOICE PENT BUTR CREAMY 12X340g,12,4808680000000,14808700000000,1211.79,1357.20,113.10,118.75,,,
